"evidence_type","contamination_source","signal_vs_noise_ratio","how_detected","impact_on_conclusions","notes"
"ink_trace","marker_smudge","medium","bleed_pattern","Not message-related.","common office supply issue."
"watermark","leaky_window","low","drip_path","Environmental artifact.","check weather."
"toolmark","factory_storage","medium","cross-striation","False match risk.","mass-handled inventory."
"footwear_mark","shoe_rack_transfer","low","sole_overlay","Not actual scene step.","stacking marks."
"dust","renovation_residue","low","powder_layers","Not tied to event time.","check construction schedule."
"fabric_imprint","bag_stack_pressure","medium","crease_pattern","Non-event compression.","travel items."
"fingerprint","food_oil","low","blurred_edges","Print distortion.","kitchen contamination."
"fingerprint","wet_surface","low","partial_ridges","Weak evidentiary value.","moisture interferes."
"blood_trace","fish_handling","low","protein_similarity","False alarm risk.","near markets."
"hair","pet_bedding","low","fiber_admixture","Misleading co-mingling.","pets shed frequently."
"fiber","blanket_transfer","medium","weave_inconsistency","Weak locational indicator.","shared bedding."
"soil_trace","construction_site","medium","grit_profile","Noise in movement reconstruction.","check footwear history."
"glass_fragment","decor_cracking","low","uniform_thinness","Not break-in related.","age-related failures."
"metal_residue","coin_handling","medium","copper_trace","Unrelated to tools.","evaluate change usage."
"soot","fireplace_use","low","distribution_arc","Benign heat source.","check recent fires."
"latex_residue","party_supplies","medium","fragment_shape","Non-crime origin.","celebration remnants."
"skin_cell_trace","fabric_chafing","low","abrasion_spots","Background transfer.","tight clothing."
"cosmetic_powder","stage_makeup","low","glitter_presence","Activity-based contamination.","performances."
"pollen","flower_shop_visit","low","type_mismatch","Ambient floral noise.","check errands."
"grease","elevator_buttons","low","smear_angle","Heavy-traffic artifact.","common building use."
"ink_trace","shipping_labels","medium","adhesive_smear","Not intentional writing.","packaging marks."
"watermark","air_conditioning","low","drip_condensation","Environmental artifact.","HVAC maintenance."
"toolmark","crowded_toolbox","medium","contact_overlap","False match threats.","shared equipment."
"footwear_mark","gym_floor","low","resin_mix","Extraneous trace.","sports residue."
"dust","attic_storage","low","layer_disturbance","Long-term accumulation.","not event-specific."
"fabric_imprint","couch_overlap","medium","seat_pressure","Non-event seating.","frequent use."
"fingerprint","door_frame_touch","low","partial_contact","Not tied to forced entry.","habitual behavior."
"fingerprint","coin_pouch","low","ridge_overlap","Weak directional clue.","small objects distort."
"blood_trace","raw_meat_package","low","smear_test","Non-event protein.","groceries."
"hair","shared_hat","low","root_condition","Weak link.","communal accessory."
"fiber","car_seat_covers","medium","synthetic_mix","Weak connection.","public taxis."
"soil_trace","park_sand","low","grain_roundness","Ambient outdoor noise.","common contamination."
"glass_fragment","ornament_drop","low","shatter_profile","Benign break event.","holiday decor."
"metal_residue","office_furniture","medium","metallic_film","Weak tool linkage.","desk contact."
"soot","kitchen_burner","low","localized_spots","False fire origin.","cooking residue."
"latex_residue","rubber_band_snap","medium","snap_marks","Not glove-related.","stationery item."
"skin_cell_trace","changing_room","low","random_smears","Weak presence claim.","shared space."
"cosmetic_powder","borrowed_jacket","low","particle_pattern","Ambiguous linkage.","friend contact."
"pollen","car_airfilter","low","pollen_uniformity","Vehicle-based contamination.","check vents."
"grease","handrail_contact","low","streak_width","Ambient transfer.","public staircase."
"ink_trace","printer_malfunction","medium","toner_spray","Irrelevant to writing.","office equipment."
"watermark","bottle_sweat","low","ring_shape","False cleaning cue.","cold drinks."
"toolmark","shipping_cart","medium","impact_overlap","Weak directional inference.","warehouse handling."
"footwear_mark","stage_paint","low","patch_transfer","Noise in trajectory.","performance hall."
"dust","HVAC_filters","low","density_layers","Not scene-specific.","ventilation dust."
"fabric_imprint","coat_pile","medium","fold_sequence","Weak locational tie.","crowded cloakroom."
"fingerprint","hand_lotion","low","blur_factor","Distorted ridge detail.","cosmetic interference."
"fingerprint","food_wrapping","low","pressure_slip","Weak trace quality.","plastic noise."
"blood_trace","cut_fruit","low","protein_trace","Non-incident source.","kitchen tasks."
"hair","shared_towel","low","wet_transfer","Weak signal.","gym showers."
"fiber","vehicle_trunk_items","medium","mixed_textures","Weak situational tie.","transport noise."
"soil_trace","playground_area","low","fine_dust","Ambient outdoor.","children presence."
"glass_fragment","phone_screen","low","tiny_shards","Not break-in related.","screen protector cracks."
"metal_residue","railings","medium","oxide_coating","Weak attribution.","public infrastructure."
"soot","extinguished_match","low","tip_residue","Non-dangerous source.","household waste."
"latex_residue","rubber_eraser","medium","crumb_clusters","Innocent cause.","stationery."
"skin_cell_trace","yoga_mat","low","sweat_cells","Weak identity link.","shared studio."
"cosmetic_powder","air_kiss_greeting","low","light_transfer","False proximity cue.","social contact."
"pollen","wind_turbulence","low","scatter_spread","Environmental noise.","outdoor gusts."
"grease","toolbox_handles","low","streak_mismatch","Weak association.","mechanic background."
"ink_trace","blueprint_markings","medium","technical_ink","Not message-related.","construction plans."
"watermark","steam_exposure","low","drip_beads","Benign humidity.","shower room."
"toolmark","ladder_contact","medium","striation_crossing","Weak match.","garage equipment."
"footwear_mark","wet_grass","low","partial_blade","Ambiguous direction.","dew patterns."
"dust","old_books","low","page_residue","Not event-connected.","library items."
"fabric_imprint","shopping_bag","medium","handle_crease","Weak inference.","carried items."
"fingerprint","warm_surface","low","evaporation_gap","Print decay.","heat source."
"fingerprint","bakery_items","low","crumb_smear","Irrelevant trace.","handling pastries."
"blood_trace","fish_market_splash","low","protein_blot","Unrelated biological source.","commercial area."
"hair","scarf_exchange","low","tangle_direction","Weak indicator.","winter clothing."
"fiber","apartment_hallway","medium","trace_uniformity","Common environment.","shared floors."
"soil_trace","flowerbed_step","low","loam_mix","Weak trajectory.","garden area."
"glass_fragment","lightbulb_failure","low","thin_arc_shards","Benign break event.","old bulbs."
"metal_residue","e-bike_parts","medium","grease_streak","Weak tool inference.","recent riding."
"soot","incense_burn","low","ash_cone","Unrelated ignition.","ritual activity."
"latex_residue","rubber_toys","medium","tear_cluster","Not glove-based.","child-related."
"skin_cell_trace","communal_keyboard","low","spot_noise","Weak identifier.","office."
"cosmetic_powder","pillow_cosmetics","low","face_transfer","Not scene presence.","sleep residue."
"pollen","door_draft","low","line_deposit","Environmental flow.","Check door gaps."
"grease","car_steering_wheel","low","sector_smear","Not event-specific.","commuting trace."
"ink_trace","wet_pen_scribble","medium","drag_pattern","Non-message artifact.","failed pen test."
"watermark","roof_leak","low","spread_path","Environmental cue.","maintenance issue."
"toolmark","crate_movement","medium","edge_slide","False tool inference.","warehouse activity."
"footwear_mark","balcony_tiles","low","pattern_decline","Weak trajectory.","tile dust."
"dust","suitcase_storage","low","corner_accumulation","Non-event dust.","travel use."
"fabric_imprint","seatbelt_fold","medium","compression_line","Not incident-related.","routine driving."
"fingerprint","plastic_cover","low","static_contact","Unreliable ridge.","static cling."
"fingerprint","cold_surface","low","condensation_interference","Print suppression.","temperature variance."
"blood_trace","food_trimming","low","trace_fibers","Benign prep.","culinary tasks."
"hair","blanket_sharing","low","rootless_fragments","Weak linkage.","sleepovers."
"fiber","doormat_shedding","medium","coarse_mix","Weak proximity signal.","threshold contamination."
"soil_trace","trail_path","low","rocky_dust","Background outdoor noise.","hiking."
"glass_fragment","jar_chipping","low","edge_uniformity","Not violent break.","kitchen usage."
"metal_residue","mailbox_contact","medium","alloy_mix","Weak link.","daily handling."
"soot","candle_drip","low","side_streak","Benign source.","home decor."
"latex_residue","sports_gear","medium","stretch_marks","Not glove evidence.","training items."
"skin_cell_trace","coat_hanger","low","random_short","Overabundant noise.","closet friction."
"cosmetic_powder","shared_car_mirror","low","face_dusting","Weak proximity.","adjustment trace."
"pollen","storefront_breeze","low","window_clusters","Environmental drift.","open doors."
"grease","public_tables","low","flat_smear","Heavy background noise.","street seating."
"ink_trace","receipt_printer","medium","thermal_transfer","Unrelated ink.","shop equipment."
"watermark","condensation_glass","low","ring_repeat","Not event wash.","temperature difference."
"toolmark","toolbag_clutter","medium","cross-imprint","Weak correlation.","worker background."
"footwear_mark","metro_station","low","grit_layer","Heavy traffic noise.","public commute."
"dust","garage_storage","low","vehicle_dust","Not tied to event.","parking residue."
"fabric_imprint","chair_overlap","medium","seat_crease","Non-event seating.","office use."
"fingerprint","disinfectant_wipe","low","partial_erosion","Signal loss.","overcleaning."
"fingerprint","shopping_cart","low","random_contact","Weak attribution.","public carts."
"blood_trace","beet_juice","low","stain_reaction","False-positive tint.","food staining."
"hair","petting_zoo","low","animal_hair_mix","Weak relevance.","outdoor activity."
"fiber","shared_backpack","medium","mixed_thread","Weak inference.","student area."
"soil_trace","sidewalk_grit","low","urban_dust","Ambient signal.","city environment."
"glass_fragment","mirror_corner_chip","low","uniform_flakes","Not conflict-related.","bathroom."
"metal_residue","hand_tools","medium","oil_trace","Weak match.","maintenance work."
"soot","barbecue_grill","low","ash_residue","Non-incident soot.","cooking."
"latex_residue","exercise_bands","medium","stretch_dust","Not glove related.","fitness items."
"skin_cell_trace","shared_keyboard","low","pattern_noise","Weak identity.","library use."
"cosmetic_powder","hug_transfer","low","shoulder_smear","Social contamination.","greetings."
"pollen","air_vents","low","vent_line","Environmental artifact.","HVAC airflow."
"grease","restaurant_menu","low","fingerprint_smear","High-traffic contamination.","public dining."
"ink_trace","marker_testing","medium","puddle_mark","Not scene-related.","store sampling."
"watermark","pipe_sweat","low","droplet_chain","No cleaning implication.","plumbing condensation."
"toolmark","furniture_drag","medium","surface_skid","Not tool damage.","rearrangement."
"footwear_mark","wet_tiles","low","slip_smear","Weak step inference.","bathroom."
"dust","linen_closet","low","sheet_fluff","Not event aligned.","storage."
"fabric_imprint","duffel_bag","medium","strap_compress","Weak cause clue.","gym activity."
"fingerprint","wet_wipes","low","edge_streaks","Ridge degradation.","residual moisture."
"fingerprint","festival_bracelet","low","band_friction","Weak trace.","event accessory."
"blood_trace","berry_stain","low","enzyme_mismatch","False biological cue.","food marks."
"hair","wind_blow","low","tangled_end","Ambient drift.","outdoor noise."
"fiber","car_rental_seat","medium","multi-source_weave","Weak presence clue.","shared vehicles."
"soil_trace","construction_dust","low","cement_mix","Weak trajectory.","renovation site."
"glass_fragment","ornament_wear","low","surface_flecks","Not shatter event.","aged decor."
"metal_residue","gym_weights","medium","iron_oxide","Weak connection.","exercise area."
"soot","tealight_candle","low","minor_blackening","False fire cue.","indoor lighting."
"latex_residue","eraser_dust","medium","crumb_shape","Not glove origin.","stationery use."
"skin_cell_trace","public_seating","low","seat_flakes","Weak link.","crowded areas."
"cosmetic_powder","carvisor_mirror","low","forehead_transfer","Not scene-specific.","routine check."
"pollen","balcony_flow","low","wind_layer","Ambient outdoor noise.","apartment airflow."
"grease","remote_control","low","thumb_streak","Background handling.","household."
"ink_trace","stamped_mail","medium","ink_bleed","Not writing evidence.","postal imprint."
"watermark","steam_kitchen","low","humidity_patch","Environmental trace.","boiling food."
"toolmark","doorstop_contact","medium","rubber_offset","False match.","door movement."
"footwear_mark","poolside_tiles","low","water_smear","Weak inference.","recreation area."
"dust","old_appliances","low","fan_dust","Not scene-related.","unused devices."
"fabric_imprint","long_coat_fold","medium","weight_lines","Ambient compression.","storage."
"fingerprint","fruit_surface","low","wax_interference","Ridge distortion.","produce handling."
"fingerprint","gaming_controller","low","palmshift","Weak attribution.","shared device."
"blood_trace","raw_poultry","low","protein_shadow","False event cue.","food prep."
"hair","shared_blanket","low","layer_confusion","Weak presence.","frequent swapping."
"fiber","airplane_seat","medium","mixed_origin","High noise.","travel context."
"soil_trace","beach_sand","low","grain_shape","Ambient outdoor.","coastal."
"glass_fragment","jewelry_chip","low","shard_micro","Not violent break.","accessory wear."
"metal_residue","shopping_cart_frame","medium","alloy_mix","Not event-specific.","grocery."
"soot","candle_scorch","low","wick_spread","Household noise.","decoration."
"latex_residue","bicycle_grip","medium","abrasion_smear","Not glove event.","cycling."
"skin_cell_trace","coat_collar","low","rubbing_flakes","Ambient contamination.","daily wear."
"cosmetic_powder","clothing_store_tryon","low","collar_dust","Weak tie.","fitting rooms."
"pollen","window_airflow","low","breeze_clusters","Environmental flow.","ventilation."
"grease","office_phone","low","receiver_smear","Not event-specific.","workplace use."
"ink_trace","inkpad_transfer","medium","stamp_smudge","Not handwriting.","administrative use."
"watermark","fridge_condensation","low","patch_repeat","Environmental.","cooling cycles."
"toolmark","shelf_drag","medium","edge_compression","False tool cue.","rearranging."
"footwear_mark","shower_floor","low","wet_partial","Weak match.","bath humidity."
"dust","storage_bins","low","bin_dust","Weak inference.","basement."
"fabric_imprint","shirt_stack","medium","fold_weight","Not event-related.","retail handling."
