"motive_category","surface_motive","hidden_motive","trigger_event","contradiction_risk","behavioral_indicators","hypothesis_value","notes"
"opportunity","offer suggestion","test safer option","unexpected delay","low","light tone; modest claims","0.46","Benign motive that can redirect choices."
"fear","stay silent","avoid deeper questions","unexpected visitor","high","whispered replies; rapid agreement","0.80","Suppression increases narrative gaps."
"obligation","sign quickly","trust superior judgment","document review","medium","formal tone; minimal questions","0.63","Anchors responsibility in chain of command."
"personal_gain","accept shift","secure better hours","shift change","medium","selective detail; benefit focused talk","0.69","Motive tied to subtle self interest."
"curiosity","follow quietly","see what unfolds","staff movement","low","observant gaze; few interruptions","0.41","Adds witness value more than suspicion."
"self_preservation","change detail","avoid official reproach","surprise inspection","high","jumps in timeline; deflects to rule ambiguity","0.77","Key driver for rule based distortions."
"compassion","tone down event","avoid worrying others","minor incident","medium","soft language; avoids strong words","0.57","Smooths narrative edges."
"misunderstanding","mix locations","confuse similar rooms","layout change","low","uncertain pointing; slow corrections","0.51","Spatial confusion mimics fabrication."
"jealousy","imply bias","underline unfair praise","public compliment","high","sharp comparisons; focus on rival","0.82","Pulls narrative toward competition."
"avoidance","answer half","leave tricky part out","follow up question","medium","short replies; redirects topic","0.58","Subtly erases difficult segments."
"protective_instinct","take blame","shield coworker","manager complaint","medium","steady tone; avoids naming","0.67","Creates sacrificial looking accounts."
"pride","reject help","prove capable alone","task assignment","medium","strong tone; dismisses concern","0.64","Can hide early warning signs."
"frustration","slam door","signal finality","long argument","medium","abrupt end; refuses elaboration","0.69","Visually strong but shallowly explained."
"accident","step wrong","misjudge distance","crowded hallway","low","embarrassed laugh; quick apology","0.50","Typical harmless disruption."
"resource_conflict","hoard supply","prevent shortage","limited stock","medium","defensive tone; sparse sharing details","0.73","Centers scarcity in narrative."
"loyalty","echo story","keep version aligned","group retelling","medium","shared pauses; similar phrasing","0.68","Helpful when mapping coordinated accounts."
"altruism","offer seat","focus on comfort","crowded area","low","gentle gestures; quiet speech","0.43","Low tension social motive."
"curiosity_mistaken","open drawer","assume shared access","unlocked drawer","low","casual comment; incomplete explanation","0.48","Looks bold yet often harmless."
"fear_of_confrontation","delay answer","hope topic drops","direct accusation","medium","stumbling phrases; eye contact breaks","0.60","Tends to fragment key moments."
"guilt","over explain","search for partial relief","quiet pause","high","excessive detail; emotional shifts","0.84","Strong post event narrative driver."
"revenge","share rumor","erode rival standing","rumor spreading","high","loaded wording; focuses on flaws","0.81","Indirect retaliation path."
"habit","light remark","treat issue as routine","minor complaint","low","casual humor; deflective tone","0.44","Normalizes small recurring friction."
"boredom","wander around","look for diversion","long shift","low","aimless movement; idle chat","0.42","Background motive behind odd placements."
"social_pressure","clap along","avoid awkward silence","announcement made","medium","forced smile; synchronized reactions","0.59","Blends individual choice into group."
"desperation","accept bad trade","avoid immediate loss","urgent offer","high","shaky voice; rushed consent","0.82","Turns flawed option into perceived necessity."
"protect_child","change seating","create distance","argument nearby","medium","protective stance; altered route","0.65","Physical adjustment reveals priority."
"professional_duty","log event","protect record integrity","incident report","medium","precise language; time stamps focus","0.70","Anchors account to documentation."
"territoriality","object to move","defend usual spot","desk rearrangement","medium","stiff posture; repetitive protest","0.69","Small conflict with strong tone."
"competition","volunteer answer","show superior memory","test question","medium","confident recall; dismissive asides","0.67","Reframes recall as contest."
"romantic_interest","linger after","prolong small talk","end of shift","medium","soft laughter; gentle teasing","0.56","Pulls scene toward side narrative."
"status_anxiety","name drop","link to authority","manager discussion","medium","frequent references; self positioning","0.63","Signals hierarchy sensitivity."
"paranoia","triple check lock","assume unseen watcher","door left open","high","constant scanning; abrupt topic shifts","0.78","Builds tension from ordinary cues."
"fatigue","forget step","lose precise order","late closing time","low","slower speech; rubbed eyes","0.47","Explains mild sequencing errors."
"carelessness","misplace tool","fail to track spot","tool misplaced","low","shrugging; weak follow up","0.46","Simple origin of later confusion."
"overconfidence","dismiss warning","trust own judgment","equipment noise","medium","firm denial; short replies","0.69","Downplays early anomaly signals."
"testing_boundaries","arrive late","measure reaction","meeting start","medium","casual apology; watching responses","0.57","Useful when mapping social experiments."
"people_pleasing","laugh along","hide personal discomfort","risky joke","medium","forced laugh; delayed protest","0.60","Buries authentic reaction."
"suspicion","keep distance","wait for clearer sign","unusual smell","medium","measured steps; quiet observation","0.62","Motive of silent sentry figures."
"hope","agree to plan","expect later reward","new project","low","bright tone; future focused talk","0.49","Colors narrative with optimism."
"nostalgia","share memory","attach meaning to place","old photograph found","low","soft smile; time drifting stories","0.45","Background color motive."
"regret","offer late help","correct earlier passivity","follow up visit","medium","self critical remarks; hesitant offers","0.64","Adds emotional correction arc."
"obligation_family","take call","prioritize relative","phone notification","medium","split focus; brief answers","0.63","Family pull reshapes attention map."
"financial_stress","pick cheaper","fear later shortfall","pricing discussion","medium","detail on cost; tight expression","0.71","Drives small but cumulative choices."
"peer_influence","join complaint","mirror shared frustration","staff gripe","medium","echoed phrases; rising intensity","0.62","Spreads minor grievances."
"confusion","mix times","swap early and late","crowded timeline","medium","stops mid sentence; second guessing","0.56","Common in long chaotic scenes."
"overwhelm","freeze briefly","struggle to prioritize","multiple demands","medium","wide eyed; fragmented sentences","0.58","Explains momentary stalls."
"routine_shortcut","skip signature","count on memory","paperwork rush","low","fast scribble; avoids rereading","0.50","Seeds small traceability issues."
"impression_management","drop flattering detail","tilt story positive","casual debrief","medium","polished tone; neat conclusion","0.72","Soft edits to lived events."
"miscommunication","answer old question","miss new nuance","rapid briefing","medium","delayed realization; backtracking","0.60","Extends earlier misunderstanding."
"opportunity","pocket sample","test for later use","free sample tray","medium","quick motion; low commentary","0.57","Minor gain with ambiguous optics."
"fear","lock door fast","avoid imagined threat","sudden silence","high","abrupt movement; shallow breathing","0.79","Elevates neutral cues into danger."
"obligation","cover shift","fear being seen unhelpful","urgent request","medium","reluctant yes; later complaint","0.62","Binds action to image concerns."
"personal_gain","accept compliment","solidify favor","public praise","medium","smiling; longer eye contact","0.66","Turns flattery into resource."
"curiosity","peek at screen","check unusual alert","bright notification","low","quick glance; small frown","0.42","Tiny motive with tracking value."
"self_preservation","omit name","avoid later backlash","incident retell","high","careful pronouns; missing labels","0.81","Key sign of selective shielding."
"compassion","soften description","avoid causing panic","minor emergency","medium","gentle tone; rounded wording","0.59","Keeps group affect stable."
"misunderstanding","treat warning lightly","assume low risk","vague announcement","low","confused look; late follow up","0.49","Misread signal motive."
"jealousy","praise rival faintly","hide sting","award mention","high","thin smile; clipped responses","0.80","Leaks through microbehaviors."
"avoidance","change room","sidestep tense figure","hallway encounter","medium","altered path; brief nod","0.57","Spatial avoidance narrative."
"protective_instinct","stand in doorway","block view","upsetting scene","medium","firm stance; minimal talk","0.68","Physical interposition motive."
"pride","raise voice","assert expertise","technical debate","medium","strong language; limited concessions","0.65","Tilts toward conflict cycles."
"frustration","drop item","signal exasperation","repeated request","medium","rough gesture; tight jaw","0.67","Affects object handling."
"accident","bump shelf","trigger minor mess","narrow passage","low","startled reaction; quick cleanup","0.51","Classic low intent disturbance."
"resource_conflict","hide favorite","keep access secure","limited treat","medium","guarded tone; evasive answers","0.72","Small hoarding storyline."
"loyalty","mirror mood","stay on friend side","friend upset","medium","shared silence; aligned remarks","0.61","Blends motive with attachment."
"altruism","finish task for other","reduce their load","overwhelmed colleague","low","quiet initiative; little comment","0.44","Supportive but easily overlooked."
"curiosity_mistaken","follow wrong sound","misjudge direction","muffled noise","low","aimless search; shifting guesses","0.47","Generates harmless detours."
"fear_of_confrontation","send message instead","avoid in person talk","schedule dispute","medium","text preference; delayed replies","0.59","Creates written record gaps."
"guilt","offer gift","balance inner ledger","minor harm done","medium","extra kindness; limited explanation","0.69","Behavioural repair motive."
"revenge","refuse favor","quietly pay back slight","small request","high","cool tone; slow response","0.78","Low key yet potent."
"habit","sit same spot","avoid rethinking choice","meeting room","low","automatic motion; little scanning","0.43","Predictable pattern for mapping."
"boredom","scroll aimlessly","escape slow moment","quiet stretch","low","split attention; shallow recall","0.41","Weakens surrounding detail memory."
"social_pressure","sign petition","go with visible majority","public push","medium","hesitant start; firm finish","0.60","Crowd aligned but not core belief."
"desperation","accept unfair blame","avoid worse outcome","manager anger","high","submissive tone; self referencing guilt","0.83","Heavy narrative weight."
"protect_child","change story angle","remove frightening image","child listening","medium","soft metaphors; skipped detail","0.66","Protects inner picture."
"professional_duty","speak up","flag safety concern","equipment failure","medium","clear tone; firm statements","0.71","Duty anchored resistance."
"territoriality","close cabinet","limit casual access","shared space","medium","short answers; narrowed eyes","0.68","Boundary guard motif."
"competition","offer alternative plan","outshine proposal","project briefing","medium","energetic tone; detail heavy contrast","0.67","Strategic redirection."
"romantic_interest","offer drink","create moment","staff break","medium","light jokes; soft attention","0.55","Parallel motive alongside main thread."
"status_anxiety","ask to be copied","avoid being left out","email thread","medium","repeated inclusion checks; mild tension","0.62","Administrative form of motive."
"paranoia","suspect tampering","assume hidden meddling","object moved","high","intense stare; repeated checking","0.80","Drives circular inspection patterns."
"fatigue","sit down abruptly","surrender momentum","end of day","low","slumped posture; slow speech","0.46","Explains collapse of initiative."
"carelessness","skip locking","forget last step","closing routine","low","offhand comment; quick exit","0.48","Seeds later risk without clear intent."
"overconfidence","dismiss protocol","trust experience only","procedure reminder","medium","brisk tone; arms crossed","0.70","Motivates rule bending."
"testing_boundaries","joke with rule","see tolerance line","staff rule talk","medium","smiling; prolonged eye contact","0.58","Soft probe of enforcement."
"people_pleasing","cover for late peer","avoid them getting in trouble","time check","medium","quick excuse; shaky detail","0.61","Creates secondary inconsistency."
"suspicion","stand back","let others move first","crowded doorway","medium","measured pace; scanning eyes","0.63","Cautious yet noncommittal."
"hope","suggest retry","believe in second chance","failed attempt","low","encouraging tone; future focus","0.47","Keeps narrative open ended."
"nostalgia","play old song","recall earlier phase","music choice","low","soft humming; distant look","0.44","Adds emotional color only."
"regret","support new rule","undo past laxity","policy change","medium","gravitas in tone; no jokes","0.65","Institutional repair motive."
"obligation_family","switch shift","attend family matter","schedule swap","medium","hurried explanations; short patience","0.64","Diverts loyalty vector."
"financial_stress","delay purchase","fear upcoming bill","offer made","medium","careful questions; long thinking","0.70","Pressure that shapes low stakes choices."
"peer_influence","join laughter","avoid being odd one out","group joke","medium","mirrored tone; late discomfort signs","0.59","Masks misalignment."
"confusion","swap names","mix similar roles","crowded roster","medium","apologies; restarts explanation","0.54","Benign but misleading."
"overwhelm","leave room briefly","reset internally","heated briefing","medium","deep breath; silence after","0.57","Break motive not escape."
"routine_shortcut","reuse old note","skip fresh check","document update","low","stale detail; wrong date","0.50","Produces archival contradictions."
"impression_management","highlight success","mute misstep","self report","medium","selective emphasis; fast transitions","0.73","Curates public self."
"miscommunication","answer from rumor","lack primary info","second hand story","medium","uncertain caveats; uneven confidence","0.60","Contaminates evidence chain."
"opportunity","take side route","avoid slow main line","queue forming","low","light step; few words","0.45","Minor optimization motive."
"fear","rush closure","avoid extended scrutiny","follow up review","high","fast answers; minimal eye contact","0.79","Speeds through key checkpoints."
"obligation","show up early","signal good will","important day","medium","extra preparation; cautious speech","0.62","Pre emptive compliance."
"personal_gain","store favor","bank future support","doing extra","medium","smiling compliance; record keeping mindset","0.68","Longer arc motive."
"curiosity","test door","see if really locked","door locked","low","gentle push; tiny grin","0.41","Harmless exploration."
"self_preservation","redirect blame","avoid note on file","incident review","high","complex explanations; subtle deflections","0.82","Heavy on causality shifts."
"compassion","stand nearby","offer quiet presence","someone in distress","medium","soft nods; few words","0.56","Non verbal supportive motive."
"misunderstanding","treat joke as serious","overreact unintentionally","ambiguous remark","low","stiff posture; later apology","0.48","Tone mismatch source."
"jealousy","delay praise","control rival spotlight","group success","high","short compliments; quick topic move","0.80","Subtle brightness dimmer."
"avoidance","take long way","skip difficult corner","known hotspot","medium","detour; extra time","0.58","Spatial sidestep motive."
"protective_instinct","check exits","plan escape path","crowded event","medium","scanning behavior; few comments","0.67","Pre emptive safety focus."
"pride","refuse script","speak own words","planned announcement","medium","improvised phrasing; strong emphasis","0.64","Asserts independence."
"frustration","raise hands","signal giving up","failed repetition","medium","sharp exhale; clipped speech","0.66","Visually readable motive."
"accident","drop key","lose track suddenly","key found","low","startled noise; brief fluster","0.52","Simple origin for access confusion."
"resource_conflict","argue over tool","claim prior use","shared item","medium","firm tone; interruption","0.71","Micro conflict motive."
"loyalty","sit beside","show silent support","colleague scolded","medium","aligned body language; nods","0.62","Non verbal alignment."
"altruism","stay late","finish for others","backlog","low","quiet work; no boasting","0.43","Slow burn helpful motive."
"curiosity_mistaken","test switch","misjudge system effect","power fluctuation","low","quick flick; wide eyes","0.47","Creates unexpected scene change."
"fear_of_confrontation","send note anonymously","avoid direct naming","problem report","medium","careful wording; lack of detail","0.59","Weakens traceability."
"guilt","offer explanation","seek partial forgiveness","question about past choice","high","rambling talk; self blame hints","0.83","Shapes late stage accounts."
"revenge","exclude name","erase rival from credit","success summary","high","pointed omissions; tight smile","0.82","Narrative erasure motive."
"habit","check phone","fill tiny gaps","micro break","low","micro glances; half attention","0.42","Background noise motive."
"boredom","spin object","keep hands busy","slow briefing","low","fidgeting; wandering gaze","0.41","Dilutes recall of surrounding talk."
"social_pressure","sign up","avoid being only one out","team activity list","medium","hesitant pen; later regret","0.60","Membership driven choice."
"desperation","accept lowest option","escape looming cut","budget talk","high","flat tone; resigned posture","0.84","Endgame style motive."
"protect_child","sit closer","block harsh sound","loud argument","medium","shielding posture; soothing whispers","0.66","Sensory protection focus."
"professional_duty","keep record","anticipate later audit","busy period","medium","constant noting; time anchors","0.70","Strengthens chronology."
"territoriality","lock drawer","restrict casual entry","shared desk","medium","short comments; firm clicks","0.69","Physical boundary expression."
"competition","copy metrics","compare in secret","performance board","medium","covert glances; silent tally","0.67","Silent scoreboard motive."
"romantic_interest","offer umbrella","extend shared path","rain starting","medium","light joke; slowed pace","0.56","Side story generator."
"status_anxiety","ask about ranking","fear slipping down","evaluation talk","medium","probing questions; nervous laugh","0.62","Metric focused motive."
"paranoia","check behind","feel watched","empty corridor","high","fast turns; hushed tone","0.78","Subjective threat lens."
"fatigue","mishear words","answer wrong topic","end shift chat","low","blinking slowly; late correction","0.47","Explains stray responses."
"carelessness","leave bag","forget it behind","bag unattended","low","head shake; rushed return","0.48","Unintentional trigger motive."
"overconfidence","promise too much","underestimate effort","planning phase","medium","grand statements; skimpy plan","0.71","Fuel for later letdown."
"testing_boundaries","ignore minor sign","see if rule is real","small warning label","medium","shrug; continued behavior","0.58","Probes enforcement line."
"people_pleasing","host extra","avoid saying no","gathering request","medium","warm tone; overcommitting","0.61","Seeds future strain."
"suspicion","take photo","log possible issue","odd pattern","medium","quick snapshot; quiet saving","0.63","Creates trace without strong claim."
"hope","mark date","expect change soon","upcoming event","low","calendar focus; upbeat talk","0.46","Future oriented motive."
"nostalgia","keep old pass","hold onto symbol","expired card","low","drawer storage; fond glance","0.44","Symbolic weight only."
"regret","decline repeat","avoid same mistake","similar offer","medium","careful refusal; long pause","0.65","Lesson integrated motive."
"obligation_family","bring up need","push shared responsibility","care talk","medium","firm request; emotional undertone","0.64","Rebalances duty map."
"financial_stress","take extra hour","chase small increase","overtime slot","medium","quick yes; tired eyes","0.72","Economically anchored motive."
"peer_influence","shift opinion","align with louder voice","heated group debate","medium","changed phrasing; later echoing","0.60","Dynamic motive in groups."
"confusion","reverse order","tell end before start","fast retell","medium","out of sequence details; later correction","0.55","Key for timeline repair."
"overwhelm","pause mid word","brain freeze moment","rapid instruction","medium","open mouth; no sound","0.57","Capacity spike marker."
"routine_shortcut","reuse password","avoid new creation","system prompt","low","same pattern; quick typing","0.50","Convenience based choice."
"impression_management","hide fatigue","smile through strain","busy period","medium","bright tone; small slips","0.72","Mask that cracks with time."
