evidence_type,substrate,environment_condition,degradation_pattern,typical_reliability,common_false_positives,interpretation_guideline,notes
glass_fragments,briefcase_lining,office_tower,fine crystalline scatter,medium,staple bits,Check lining folds.,Suggests passing near broken panel.
glass_fragments,bicycle_bag,city_square,deep-insert slivers,medium,plastic chips,Check shard hue.,Suggests proximity to shattered bottle.
glass_fragments,cargo_pants_knee,warehouse,force-pressed shard,high,cement flecks,Check pressure points.,Likely kneeling near debris.
burn_pattern,rug_surface,heater_close,semi-circular singe,medium,coffee spill,Check charring depth.,Suggests object fell on heater.
burn_pattern,bathroom_door,steam,softened scallop burn,low,soap marks,Check drip trails.,Moisture changes scorch edges.
burn_pattern,office_partition,overload_unit,top-down stripe burns,medium,printer toner,Check heat source height.,Suggests electrical overheating.
burn_pattern,ceiling_tile,ventilation_heat,wave soot pattern,medium,dust lines,Check vent flow.,Plume distortion possible.
burn_pattern,trash_bin,incense_ash,spot char clusters,medium,charcoal dust,Check ignition points.,Likely accidental ignition.
burn_pattern,fabric_sofa,candle_nearby,angled char lick,high,drink stain,Check melt fiber shape.,Suggests quick ignition flash.
gunshot_residue,metal_table,wind_tunnel,uneven drift band,low,industrial dust,Check elemental mix.,Wind alters residual shape.
gunshot_residue,plastic_shield,arena_env,clustered specks,high,rubber dust,Check protected zones.,Indicates front-facing exposure.
gunshot_residue,coat_cuff,snowfall,washed particle arcs,low,road salt,Check residual trio.,Snow disrupts consistency.
gunshot_residue,helmet_padding,warehouse,embedded particulate,medium,foam debris,Check depth.,Suggests secondary transfer.
gunshot_residue,window_sill,night_breeze,thin scatter layer,low,soot,Check wind-side distribution.,May indicate indirect deposition.
toolmark,metal_door,parking_garage,double skip lines,high,cart bump,Check symmetry.,Suggests repetitive forced push.
toolmark,cabinet_hinge,kitchen,elliptic scrape,medium,utensil drag,Check hinge wear.,Freshness distinguishes accidental vs not.
toolmark,fence_lock,backyard,irregular bite marks,medium,animal scratches,Check depth.,May indicate attempted forced rotation.
toolmark,wooden_step,old_building,parallel gouges,medium,furniture move,Check age of chips.,Recent chips appear lighter.
toolmark,steel_support,bridge,straight narrow scrape,high,loose bolt movement,Check corrosion.,Mechanical vibration likely.
toolmark,storage_crate,loading_dock,slanted deep marks,medium,pallet drag,Check striation depth.,Suggests hurried handling.
footwear_noise,laundry_room,humid_dryers,moist zig-zag smudge,low,cleaning appliance marks,Check stride endpoints.,Suggests fast back-and-forth motion.
footwear_noise,elevator_floor,office,thin dust crescents,low,bag drag,Check arc direction.,Suggests pivoting in tight space.
footwear_noise,restaurant_kitchen,oil_film,wide smear bloom,low,spill marks,Check slip trail.,Indicates slipping incident.
footwear_noise,wooden_dock,night_mist,soft parallel lines,medium,rope drag,Check wood grain.,Suggests cautious stepping.
footwear_noise,train_car,floor_grit,angled displacement dust,medium,seat shuffling,Check motion vectors.,Indicates abrupt balance correction.
footwear_noise,shopping_center_tile,AC_flow,diffused heel prints,low,kid toy streaks,Check overlay.,Hard to isolate true stride.
paint_trace,underground_passage,damp_stone,washed pigment film,low,mold patches,Check color strength.,Indicates brief contact with painted object.
paint_trace,shattered_metal_panel,wind_drift,cross-lift flake lines,medium,rust,"“Check flake thickness.""",Suggests piece swung open before breaking.
paint_trace,broken_signpost,rainy_day,vertical streak runoff,medium,plant resin,Check layer bonding.,Runoff suggests fresh break.
paint_trace,old_train_door,friction_heat,burnished paint rub,high,metal dust,Check rub direction.,Indicates repeated sliding.
paint_trace,mailbox_edge,afternoon_sun,peeled corner flecks,medium,leaf debris,Check paint dryness.,Suggests scraping by object.
paint_trace,container_wall,harbor_env,salt-worn chips,medium,shell grit,Check chemical profile.,Marine exposure influences flake.
paint_trace,bus_handle,commute_hour,thin rubbed streak,low,grease,"“Check stroke height.""",Likely incidental brushing.
paint_trace,metal_shelf,storage_unit,layered rub marks,medium,cardboard rub,Check color bands.,Multi-layer indicates repeated moves.
paint_trace,ladder_step,attic_env,compressed pigment spot,medium,wood dust,Check offset zones.,Suggests stepping with painted object.
paint_trace,scaffold_bar,construction_site,fine rub scrape,high,cement dust,Check consistent hue.,Likely contact with painted pipe.
