environment_type,expected_trace,unexpected_trace,forensic_implication,reliability_score,caveats
metro_tunnel,concrete_dust,textile_fiber,Crowd clothing mix.,0.5,Low reliability.
urban_plaza,synthetic_fiber,fish_scale,Market visit earlier.,0.61,Check market proximity.
university_garden,plant_pollen,ink_trace,Document handling outdoors.,0.62,Ink migrates easily.
coastal_park,salt_aerosol,metal_dust,Mechanical contact before walk.,0.67,Check hobbies.
city_bridge,concrete_chip,paper_fiber,Carried notes or tickets.,0.54,Low reliability.
shopping_arcade,synthetic_lint,soil_particle,Outdoor shopping prior.,0.58,Low inference.
warehouse_loading_dock,cardboard_fiber,cosmetic_glitter,Party supply shipment earlier.,0.66,Glitter persists.
mountain_lodge,wood_splinter,oil_residue,Handling machinery prior.,0.77,High value in context.
industrial_kitchen,food_particulate,plastic_chip,Packaging mishandling.,0.78,Check supplier boxes.
gas_station,gravel_dust,synthetic_fiber,Clothing from shopping mall.,0.56,Crowd variability.
tennis_court,clay_dust,textile_glitter,Party traces.,0.52,Glitter unreliable.
cemetery,soil_fine,paper_fiber,Document handling.,0.57,Low inference strength.
urban_market,spice_dust,metal_chip,Mechanical contact earlier.,0.72,Check environment route.
harbor_office,paper_fiber,salt_residue,Outdoor dock activity.,0.71,Salt wind effect.
church_hall,wood_dust,ink_trace,Signing documents before event.,0.58,Weak implication.
city_rooftop,grit,synthetic_fuzz,Urban clothing fibers.,0.57,High noise level.
print_shop,toner_dust,soil_trace,Outdoor break recently.,0.62,Common residue mix.
boat_cabin,rope_fiber,paint_chip,Dockside railing contact.,0.73,Paint flakes common.
beach_club,sand,wood_dust,Renovation nearby.,0.68,Cross-transfer high.
mountain_pass,rock_dust,plastic_bit,Consumer item breakage.,0.55,Weak inference.
airport_security,synthetic_fiber,metal_grease,Mechanical interaction before check.,0.74,Check luggage contents.
movie_set,prop_dust,soil_mark,Outdoor shooting segment.,0.63,Prop dust variable.
factory_storage,cardboard_fiber,oil_dot,Equipment maintenance.,0.79,Localized evidence.
rural_school,soil_trace,metal_shard,Contact with farm equipment.,0.76,Common rural context.
community_center,carpet_fiber,pollen,Outdoor arrival before session.,0.58,Season dependent.
science_center,plastic_fiber,flour_dust,Kitchen or bakery stop.,0.59,Weak but plausible.
botanical_greenhouse,plant_pollen,metal_chip,Maintenance tool contact.,0.75,Moderate reliability.
mechanic_shop,grease_traces,food_powder,Eating on shift.,0.8,Check worker habits.
toy_museum,plastic_fiber,soil_speck,Outdoor entry before visit.,0.55,Low certainty.
ski_lodge,snow_residue,textile_fuzz,Clothing friction indoors.,0.6,Melts quickly.
observatory,dust_fine,ink_speck,Document notes outdoors.,0.57,Ink persistent.
university_gym,skin_cells,metal_dust,Weight machine maintenance.,0.78,Check equipment logs.
computer_store,plastic_chip,soil_trace,Recent outdoor visit.,0.56,Urban noise.
artisanal_market,cloth_fiber,metal_dust,Hardware stall visit.,0.66,Mixed stalls cause noise.
railway_office,paper_fiber,oil_smear,Trackside exposure.,0.77,Check duties.
parking_booth,carpet_fiber,pollen_cluster,Outdoor walk prior.,0.57,Seasonal variability.
sports_shop,rubber_traces,soil_particle,Outdoor test of gear.,0.61,Weak but logical.
craft_fair,glitter,metal_chip,Tool vendor visit.,0.63,Glitter dilutes reliability.
mountain_range,gravel_dust,paper_fiber,Document handling on trail.,0.52,Weak inference.
artisan_bakery,flour_fleck,ink_trace,Label writing.,0.74,Moderately strong.
city_taxi,seat_fiber,wood_chip,Passenger contact with wooden object.,0.7,Check reported items.
apartment_hallway,carpet_lint,soil_speck,Outdoor entry shortly before.,0.56,Low inference.
riverside_park,soil_cluster,plastic_fiber,Urban clothing residue.,0.54,Common transfer.
rooftop_garden,plant_matter,metal_dust,Mechanical work before visit.,0.67,Check tool use.
urban_warehouse,cement_dust,glitter,Party supply goods present.,0.63,Glitter unreliable.
science_lab,chemical_trace,wood_fiber,Handling wooden tools.,0.79,Check equipment list.
food_court,crumbs,ink_speck,Document handling while eating.,0.61,Ink tends to smear.
shopping_plaza,synthetic_fiber,soil_speck,Outdoor arrival.,0.53,Crowds dilute meaning.
bus_terminal,urban_dust,metal_chip,Mechanical contact earlier.,0.72,Moderate value.
old_library,paper_dust,wax_residue,Candle or craft handling.,0.75,Check event history.
roof_attic,dust_heavy,plastic_chip,Packaging disturbance.,0.71,Check storage boxes.
metro_station,grime,flower_pollen,Outdoor stop before transit.,0.57,Seasonal.
harbor_warehouse,rope_fiber,food_traces,Snack consumption on shift.,0.63,Weak inference.
vintage_store,textile_fiber,soil_bits,Outdoor sourcing trip.,0.55,Low certainty.
mountain_outpost,wood_dust,ink_smear,Document writing outdoors.,0.58,Ink persists.
observatory_deck,metal_scuff,soil_particle,Outdoor climb before entry.,0.56,Wind factor.
industrial_plant,metal_flake,perfume_trace,Personal activity unrelated to plant.,0.78,Perfume persistent.
botanical_trail,leaf_fragment,paper_fiber,Reading outdoors.,0.52,Low inference.
university_cafeteria,crumbs,metal_shard,DIY project involvement.,0.69,Check local workshops.
rural_chapel,wood_dust,synthetic_fiber,Urban clothing mix.,0.56,Weak but present.
music_rehearsal_room,rosin_dust,soil_trace,Outdoor walk before practice.,0.57,Common trace.
urban_highrise_lobby,fabric_lint,glitter,Party activity.,0.59,Glitter adherence high.
old_attic,dust,metal_smear,Tool storage disturbance.,0.73,Moderate reliability.
seaside_promenade,salt_spray,paper_fiber,Ticket or brochure handling.,0.55,Wind interference.
shopping_basement,synthetic_lint,wood_chip,Crate handling.,0.63,Context dependent.
arcade_center,plastic_chip,soil_speck,Outdoor break.,0.55,Crowd variability.
city_government_office,paper_fiber,cosmetic_powder,Recent personal grooming.,0.6,Powder common.
mountain_hut,wood_fragment,metal_chip,Tools used recently.,0.79,Strong contextual value.
retail_showroom,textile_fiber,pollen,Outdoor arrival.,0.54,Seasonal.
public_garden,soil,ink_trace,Document signing outdoors.,0.58,Ink common.
climbing_gym,rock_dust,plastic_fuzz,Urban clothing contact.,0.6,Low-mid reliability.
industrial_corridor,cement_dust,food_powder,Food handling en route.,0.61,Weak.
spa_lobby,oil_residue,metal_dust,Mechanical activity before spa.,0.73,Check visitor routines.
photography_studio,backdrop_fiber,sand,Outdoor shoot prior.,0.65,Sand easily transported.
university_quadrangle,soil_trace,metal_chip,Workshop visit earlier.,0.68,Check campus facilities.
repair_garage,oil_smear,paper_fiber,Document handling on break.,0.71,Moderate.
city_tunnel,grit,synthetic_fiber,Urban clothing mix.,0.5,Low inference strength.
coastal_marina,salt_crust,plant_matter,Dockside vegetation.,0.59,Wind transfers.
law_firm_office,paper_dust,wood_chip,Furniture contact.,0.74,Check office renovations.
airport_runway_edge,asphalt_dust,plastic_fiber,Clothing friction.,0.57,Environmental noise.
crafts_store,glitter,metal_speck,Hardware aisle visit.,0.62,Glitter contamination common.
