"scenario_type","claimed_time","required_time","contradiction_marker","likely_explanation","validation_prompt"
"stack_plates","6s","20s","Count mismatch","Few plates.","How many?"
"wipe_spill","4s","15s","Coverage mismatch","Small puddle.","How big?"
"mop_floor","20s","60s","Area mismatch","Small patch.","Which area?"
"squeegee_window","10s","35s","Coverage mismatch","Only corners.","Which section?"
"clean_mirror","8s","30s","Coverage mismatch","Small wipe.","Which cloth?"
"brush_coat","10s","35s","Coverage mismatch","Quick brush.","Did you brush fully?"
"clean_shoes","12s","40s","Coverage mismatch","Light clean.","Which product?"
"pack_lunch","15s","45s","Ingredient mismatch","Few items.","What did you pack?"
"heat_pan","5s","20s","Thermal mismatch","Warm stove.","Was burner on?"
"fry_egg","10s","30s","Heat mismatch","Medium-low heat.","What setting?"
"toast_sandwich","10s","40s","Heating mismatch","Warm pan.","Was pan hot?"
"remove_sandwich","3s","12s","Grip mismatch","Used spatula.","Which tool?"
"cut_sandwich","4s","15s","Precision mismatch","Diagonal cut only.","How many slices?"
"clean_spatula","4s","15s","Coverage mismatch","Quick rinse.","Did you scrub?"
"retrieve_spatula","3s","12s","Placement mismatch","On counter.","Where found?"
"open_storage_box","3s","12s","Latch mismatch","Loose latch.","Hard to open?"
"sort_screws","12s","40s","Quantity mismatch","Few screws.","How many?"
"clean_workbench","15s","45s","Coverage mismatch","Small area.","Where did you clean?"
"turn_on_fan","2s","10s","Reach mismatch","Remote nearby.","Where positioned?"
"adjust_fan_speed","2s","10s","Menu mismatch","Preset speed.","Which level?"
"turn_off_fan","2s","10s","Standby mismatch","Fan slowing already.","Was it spinning?"
"wipe_remote","4s","15s","Coverage mismatch","Small wipe.","Which cloth?"
"plug_charger","3s","12s","Reach mismatch","Socket close.","Which socket?"
"unplug_charger","2s","10s","Grip mismatch","Loose plug.","Was it tight?"
"clean_phone_screen","5s","20s","Coverage mismatch","Quick wipe.","Which cloth?"
"open_laptop","3s","12s","Hinge mismatch","Laptop half-open.","Was lid ajar?"
"log_in","5s","20s","Typing mismatch","Saved credentials.","Is autofill on?"
"open_browser","3s","12s","Load mismatch","Pinned tab.","Which page?"
"close_browser","2s","10s","Tab mismatch","Only one tab.","How many tabs?"
"shut_down_laptop","4s","15s","Menu mismatch","Sleep mode.","Did you reboot?"
